File ID,Filename,File Format,Version,Linked Design ID,Linked Item ID (Portfolio),Design Name,Designer,Software Used,File Size (MB),Export Date,Export Type,Resolution/Spec,Color Profile,Storage Location,Folder Path,Status,Notes
F-001,homepage_hero_banner_v3_FINAL.fig,Figma,v3,D-001,PI-001,Homepage Hero Banner,Priya Sharma,Figma,18.4,2026-06-03,Source File,1440x600px,RGB,Google Drive,/Clients/RetailCo/Summer-Sale/Hero-Banner/,Active,Final approved source file
F-002,homepage_hero_banner_v3_export_web.png,PNG,v3,D-001,PI-001,Homepage Hero Banner,Priya Sharma,Figma,3.2,2026-06-03,Web Export,1440x600 @2x,sRGB,Google Drive,/Clients/RetailCo/Summer-Sale/Hero-Banner/Exports/,Active,Exported for dev handoff
F-003,homepage_hero_banner_v3_export_print.pdf,PDF,v3,D-001,PI-001,Homepage Hero Banner,Priya Sharma,Figma,6.7,2026-06-03,Print Export,300 DPI,CMYK,Google Drive,/Clients/RetailCo/Summer-Sale/Hero-Banner/Exports/,Active,Print-ready backup copy
F-004,mobile_app_onboarding_v2.fig,Figma,v2,D-002,—,Mobile App Onboarding Flow,Arjun Kapoor,Figma,42.1,2026-06-10,Source File,375x812px,RGB,Google Drive,/Clients/FinStart/App-Redesign/Onboarding/,Active,In revision — v3 in progress
F-005,mobile_app_onboarding_v1.fig,Figma,v1,D-002,—,Mobile App Onboarding Flow,Arjun Kapoor,Figma,38.6,2026-06-05,Source File,375x812px,RGB,Google Drive,/Clients/FinStart/App-Redesign/Onboarding/Archive/,Archived,Superseded by v2
F-006,product_launch_email_v1_FINAL.html,HTML,v1,D-003,—,Product Launch Email Template,Nisha Verma,Figma + VS Code,0.4,2026-06-04,Email Export,600px width,sRGB,Google Drive,/Clients/RetailCo/June-Launch/Email/,Active,Deployed to Mailchimp
F-007,product_launch_email_v1.fig,Figma,v1,D-003,—,Product Launch Email Template,Nisha Verma,Figma,9.8,2026-06-02,Source File,600x1800px,RGB,Google Drive,/Clients/RetailCo/June-Launch/Email/,Active,Source file for reference
F-008,instagram_stories_v1_set.fig,Figma,v1,D-004,—,Instagram Story Set (5 slides),Rohan Gupta,Figma,24.3,2026-06-08,Source File,1080x1920px,RGB,Google Drive,/LanternTides/Social/Brand-Awareness/Stories/,Active,Revision pending on slides 3 & 5
F-009,instagram_story_slide1_v1.mp4,MP4,v1,D-004,—,Instagram Story Slide 1 Animated,Rohan Gupta,After Effects,87.5,2026-06-08,Animated Export,1080x1920 @30fps,sRGB,Google Drive,/LanternTides/Social/Brand-Awareness/Stories/Exports/,Active,Motion export for slide 1
F-010,annual_report_cover_v4_FINAL.indd,InDesign,v4,D-005,PI-005,Annual Report Cover Page,Meera Pillai,Adobe InDesign,55.2,2026-06-06,Source File,A4 Portrait,CMYK,Local + Backup Drive,/Clients/Horizon/Annual-Report-2025/Cover/,Active,Print-ready; sent to vendor
